Name,Released_Year,Runtime,Genre,IMDB_Rating,Meta_score,No_of_Votes,Gross
Once Upon a Time in America,1984,229 min,"Crime, Drama",8.4,,311365,"5,321,508"
Raiders of the Lost Ark,1981,115 min,"Action, Adventure",8.4,85,884112,"248,159,971"
The Shining,1980,146 min,"Drama, Horror",8.4,66,898237,"44,017,374"
Apocalypse Now,1979,147 min,"Drama, Mystery, War",8.4,94,606398,"83,471,511"
Alien,1979,117 min,"Horror, Sci-Fi",8.4,89,787806,"78,900,000"
Anand,1971,122 min,"Drama, Musical",8.4,,30273,
Tengoku to jigoku,1963,143 min,"Crime, Drama, Mystery",8.4,,34357,
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95 min,Comedy,8.4,97,450474,"275,902"
Witness for the Prosecution,1957,116 min,"Crime, Drama, Mystery",8.4,,108862,"8,175,000"
Paths of Glory,1957,88 min,"Drama, War",8.4,90,178092,
Rear Window,1954,112 min,"Mystery, Thriller",8.4,100,444074,"36,764,313"
Sunset Blvd.,1950,110 min,"Drama, Film-Noir",8.4,,201632,
The Great Dictator,1940,125 min,"Comedy, Drama, War",8.4,,203150,"288,475"
1917,2019,119 min,"Drama, Thriller, War",8.3,78,425844,"159,227,644"
Tumbbad,2018,104 min,"Drama, Fantasy, Horror",8.3,,27793,
Andhadhun,2018,139 min,"Crime, Drama, Music",8.3,,71875,"1,373,943"
Drishyam,2013,160 min,"Crime, Drama, Thriller",8.3,,30722,
Jagten,2012,115 min,Drama,8.3,77,281623,"687,185"
Jodaeiye Nader az Simin,2011,123 min,Drama,8.3,95,220002,"7,098,492"
Incendies,2010,131 min,"Drama, Mystery, War",8.3,80,150023,"6,857,096"
Miracle in cell NO.7,2019,132 min,Drama,8.3,,33935,
Babam ve Oglum,2005,112 min,"Drama, Family",8.3,,78925,
Inglourious Basterds,2009,153 min,"Adventure, Drama, War",8.3,69,1267869,"120,540,719"
Eternal Sunshine of the Spotless Mind,2004,108 min,"Drama, Romance, Sci-Fi",8.3,89,911664,"34,400,301"
Amélie,2001,122 min,"Comedy, Romance",8.3,69,703810,"33,225,499"
Snatch,2000,104 min,"Comedy, Crime",8.3,55,782001,"30,328,156"
Requiem for a Dream,2000,102 min,Drama,8.3,68,766870,"3,635,482"
American Beauty,1999,122 min,Drama,8.3,84,1069738,"130,096,601"
Good Will Hunting,1997,126 min,"Drama, Romance",8.3,70,861606,"138,433,435"
Bacheha-Ye aseman,1997,89 min,"Drama, Family, Sport",8.3,77,65341,"933,933"
Toy Story,1995,81 min,"Animation, Adventure, Comedy",8.3,95,887429,"191,796,233"
Braveheart,1995,178 min,"Biography, Drama, History",8.3,68,959181,"75,600,000"
Reservoir Dogs,1992,99 min,"Crime, Drama, Thriller",8.3,79,918562,"2,832,029"
Full Metal Jacket,1987,116 min,"Drama, War",8.3,76,675146,"46,357,676"
Idi i smotri,1985,142 min,"Drama, Thriller, War",8.3,,59056,
Aliens,1986,137 min,"Action, Adventure, Sci-Fi",8.3,84,652719,"85,160,248"
Amadeus,1984,160 min,"Biography, Drama, History",8.3,88,369007,"51,973,029"
Scarface,1983,170 min,"Crime, Drama",8.3,65,740911,"45,598,982"
Star Wars: Episode VI - Return of the Jedi,1983,131 min,"Action, Adventure, Fantasy",8.3,58,950470,"309,125,409"
Das Boot,1981,149 min,"Adventure, Drama, Thriller",8.3,86,231855,"11,487,676"
Taxi Driver,1976,114 min,"Crime, Drama",8.3,94,724636,"28,262,574"
The Sting,1973,129 min,"Comedy, Crime, Drama",8.3,83,241513,"159,600,000"
A Clockwork Orange,1971,136 min,"Crime, Drama, Sci-Fi",8.3,77,757904,"6,207,725"
2001: A Space Odyssey,1968,149 min,"Adventure, Sci-Fi",8.3,84,603517,"56,954,992"
Per qualche dollaro in più,1965,132 min,Western,8.3,74,232772,"15,000,000"
Lawrence of Arabia,1962,228 min,"Adventure, Biography, Drama",8.3,100,268085,"44,824,144"
The Apartment,1960,125 min,"Comedy, Drama, Romance",8.3,94,164363,"18,600,000"
North by Northwest,1959,136 min,"Adventure, Mystery, Thriller",8.3,98,299198,"13,275,000"
Vertigo,1958,128 min,"Mystery, Romance, Thriller",8.3,100,364368,"3,200,000"
Singin' in the Rain,1952,103 min,"Comedy, Musical, Romance",8.3,99,218957,"8,819,028"
Ikiru,1952,143 min,Drama,8.3,,68463,"55,240"
Ladri di biciclette,1948,89 min,Drama,8.3,,146427,"332,930"
Double Indemnity,1944,107 min,"Crime, Drama, Film-Noir",8.3,95,143525,"5,720,000"
Citizen Kane,1941,119 min,"Drama, Mystery",8.3,100,403351,"1,585,634"
M - Eine Stadt sucht einen Mörder,1931,117 min,"Crime, Mystery, Thriller",8.3,,143434,"28,877"
Metropolis,1927,153 min,"Drama, Sci-Fi",8.3,98,159992,"1,236,166"
The Kid,1921,68 min,"Comedy, Drama, Family",8.3,,113314,"5,450,000"
Chhichhore,2019,143 min,"Comedy, Drama",8.2,,33893,"898,575"
Uri: The Surgical Strike,2018,138 min,"Action, Drama, War",8.2,,43444,"4,186,168"
K.G.F: Chapter 1,2018,156 min,"Action, Drama",8.2,,36680,
Green Book,2018,130 min,"Biography, Comedy, Drama",8.2,69,377884,"85,080,171"
"Three Billboards Outside Ebbing, Missouri",2017,115 min,"Comedy, Crime, Drama",8.2,88,432610,"54,513,740"
Talvar,2015,132 min,"Crime, Drama, Mystery",8.2,,31142,"342,370"
Baahubali 2: The Conclusion,2017,167 min,"Action, Drama",8.2,,75348,"20,186,659"
Klaus,2019,96 min,"Animation, Adventure, Comedy",8.2,65,104761,
Drishyam,2015,163 min,"Crime, Drama, Mystery",8.2,,70367,"739,478"
Queen,2013,146 min,"Adventure, Comedy, Drama",8.2,,60701,"1,429,534"
Mandariinid,2013,87 min,"Drama, War",8.2,73,40382,"144,501"
Bhaag Milkha Bhaag,2013,186 min,"Biography, Drama, Sport",8.2,,61137,"1,626,289"
Gangs of Wasseypur,2012,321 min,"Action, Comedy, Crime",8.2,89,82365,
Udaan,2010,134 min,Drama,8.2,,42341,"7,461"
Paan Singh Tomar,2012,135 min,"Action, Biography, Crime",8.2,,33237,"39,567"
El secreto de sus ojos,2009,129 min,"Drama, Mystery, Romance",8.2,80,193217,"6,391,436"
Warrior,2011,140 min,"Action, Drama, Sport",8.2,71,435950,"13,657,115"
Shutter Island,2010,138 min,"Mystery, Thriller",8.2,63,1129894,"128,012,934"
Up,2009,96 min,"Animation, Adventure, Comedy",8.2,88,935507,"293,004,164"
The Wolf of Wall Street,2013,180 min,"Biography, Crime, Drama",8.2,75,1187498,"116,900,694"
Chak De! India,2007,153 min,"Drama, Family, Sport",8.2,68,74129,"1,113,541"
There Will Be Blood,2007,158 min,Drama,8.2,93,517359,"40,222,514"
Pan's Labyrinth,2006,118 min,"Drama, Fantasy, War",8.2,98,618623,"37,634,615"
Toy Story 3,2010,103 min,"Animation, Adventure, Comedy",8.2,92,757032,"415,004,880"
V for Vendetta,2005,132 min,"Action, Drama, Sci-Fi",8.2,62,1032749,"70,511,035"
Rang De Basanti,2006,167 min,"Comedy, Crime, Drama",8.2,,111937,"2,197,331"
Black,2005,122 min,Drama,8.2,,33354,"733,094"
Batman Begins,2005,140 min,"Action, Adventure",8.2,70,1308302,"206,852,432"
"Swades: We, the People",2004,210 min,Drama,8.2,,83005,"1,223,240"
Der Untergang,2004,156 min,"Biography, Drama, History",8.2,82,331308,"5,509,040"
Hauru no ugoku shiro,2004,119 min,"Animation, Adventure, Family",8.2,80,333915,"4,711,096"
A Beautiful Mind,2001,135 min,"Biography, Drama",8.2,72,848920,"170,742,341"
Hera Pheri,2000,156 min,"Action, Comedy, Crime",8.2,,57057,
"Lock, Stock and Two Smoking Barrels",1998,107 min,"Action, Comedy, Crime",8.2,66,535216,"3,897,569"
L.A. Confidential,1997,138 min,"Crime, Drama, Mystery",8.2,90,531967,"64,616,940"
Eskiya,1996,128 min,"Crime, Drama, Thriller",8.2,,64118,
Heat,1995,170 min,"Crime, Drama, Thriller",8.2,76,577113,"67,436,818"
Casino,1995,178 min,"Crime, Drama",8.2,73,466276,"42,438,300"
Andaz Apna Apna,1994,160 min,"Action, Comedy, Romance",8.2,,49300,
Unforgiven,1992,130 min,"Drama, Western",8.2,85,375935,"101,157,447"
Indiana Jones and the Last Crusade,1989,127 min,"Action, Adventure",8.2,65,692366,"197,171,806"
Dom za vesanje,1988,142 min,"Comedy, Crime, Drama",8.2,,26402,"280,015"
Tonari no Totoro,1988,86 min,"Animation, Family, Fantasy",8.2,86,291180,"1,105,564"
Die Hard,1988,132 min,"Action, Thriller",8.2,72,793164,"83,008,852"
Ran,1985,162 min,"Action, Drama, War",8.2,96,112505,"4,135,750"
Raging Bull,1980,129 min,"Biography, Drama, Sport",8.2,89,321860,"23,383,987"
Stalker,1979,162 min,"Drama, Sci-Fi",8.2,,116945,"234,723"
Höstsonaten,1978,99 min,"Drama, Music",8.2,,26875,
The Message,1976,177 min,"Biography, Drama, History",8.2,,43885,
Sholay,1975,204 min,"Action, Adventure, Comedy",8.2,,51284,
Monty Python and the Holy Grail,1975,91 min,"Adventure, Comedy, Fantasy",8.2,91,500875,"1,229,197"
The Great Escape,1963,172 min,"Adventure, Drama, History",8.2,86,224730,"12,100,000"
To Kill a Mockingbird,1962,129 min,"Crime, Drama",8.2,88,293811,
Yôjinbô,1961,110 min,"Action, Drama, Thriller",8.2,,111244,
Judgment at Nuremberg,1961,179 min,"Drama, War",8.2,60,69458,
Some Like It Hot,1959,121 min,"Comedy, Music, Romance",8.2,98,243943,"25,000,000"
Smultronstället,1957,91 min,"Drama, Romance",8.2,88,96381,
Det sjunde inseglet,1957,96 min,"Drama, Fantasy, History",8.2,88,164939,
Du rififi chez les hommes,1955,118 min,"Crime, Drama, Thriller",8.2,97,28810,"57,226"
Dial M for Murder,1954,105 min,"Crime, Thriller",8.2,75,158335,"12,562"
Tôkyô monogatari,1953,136 min,Drama,8.2,,53153,
Rashômon,1950,88 min,"Crime, Drama, Mystery",8.2,98,152572,"96,568"
All About Eve,1950,138 min,Drama,8.2,98,120539,"10,177"
The Treasure of the Sierra Madre,1948,126 min,"Adventure, Drama, Western",8.2,98,114304,"5,014,000"
To Be or Not to Be,1942,99 min,"Comedy, War",8.2,86,29915,
