Name,Released_Year,Runtime,Genre,IMDB_Rating,Meta_score,No_of_Votes,Gross
Das Cabinet des Dr. Caligari,1920,76 min,"Fantasy, Horror, Mystery",8.1,,57428,
Badhaai ho,2018,124 min,"Comedy, Drama",8,,27978,
Togo,2019,113 min,"Adventure, Biography, Drama",8,69,37556,
Airlift,2016,130 min,"Drama, History",8,,52897,
Bajrangi Bhaijaan,2015,163 min,"Action, Adventure, Comedy",8,,72245,"8,178,001"
Baby,2015,159 min,"Action, Crime, Thriller",8,,52848,
La La Land,2016,128 min,"Comedy, Drama, Music",8,94,505918,"151,101,803"
Lion,2016,118 min,"Biography, Drama",8,69,213970,"51,739,495"
The Martian,2015,144 min,"Adventure, Drama, Sci-Fi",8,80,760094,"228,433,663"
Zootopia,2016,108 min,"Animation, Adventure, Comedy",8,78,434143,"341,268,248"
Bãhubali: The Beginning,2015,159 min,"Action, Drama",8,,102972,"6,738,000"
Kaguyahime no monogatari,2013,137 min,"Animation, Adventure, Drama",8,89,38746,"1,506,975"
Wonder,2017,113 min,"Drama, Family",8,66,141923,"132,422,809"
Gully Boy,2019,154 min,"Drama, Music, Romance",8,65,31886,"5,566,534"
Special Chabbis,2013,144 min,"Crime, Drama, Thriller",8,,51069,"1,079,369"
Short Term 12,2013,96 min,Drama,8,82,81770,"1,010,414"
Serbuan maut 2: Berandal,2014,150 min,"Action, Crime, Thriller",8,71,114316,"2,625,803"
The Imitation Game,2014,114 min,"Biography, Drama, Thriller",8,73,685201,"91,125,683"
Guardians of the Galaxy,2014,121 min,"Action, Adventure, Comedy",8,76,1043455,"333,176,600"
Blade Runner 2049,2017,164 min,"Action, Drama, Mystery",8,81,461823,"92,054,159"
Her,2013,126 min,"Drama, Romance, Sci-Fi",8,90,540772,"25,568,251"
Bohemian Rhapsody,2018,134 min,"Biography, Drama, Music",8,49,450349,"216,428,042"
The Revenant,2015,156 min,"Action, Adventure, Drama",8,76,705589,"183,637,894"
The Perks of Being a Wallflower,2012,103 min,"Drama, Romance",8,67,462252,"17,738,570"
Tropa de Elite 2: O Inimigo Agora é Outro,2010,115 min,"Action, Crime, Drama",8,71,79200,"100,119"
The King's Speech,2010,118 min,"Biography, Drama, History",8,88,639603,"138,797,449"
The Help,2011,146 min,Drama,8,62,428521,"169,708,112"
Deadpool,2016,108 min,"Action, Adventure, Comedy",8,65,902669,"363,070,709"
Darbareye Elly,2009,119 min,"Drama, Mystery",8,87,45803,"106,662"
Dev.D,2009,144 min,"Drama, Romance",8,,28749,"10,950"
Yip Man,2008,106 min,"Action, Biography, Drama",8,59,211427,
My Name Is Khan,2010,165 min,Drama,8,50,98575,"4,018,695"
Nefes: Vatan Sagolsun,2009,128 min,"Action, Drama, Thriller",8,,31838,
Slumdog Millionaire,2008,120 min,"Drama, Romance",8,84,798882,"141,319,928"
Black Swan,2010,108 min,"Drama, Thriller",8,79,699673,"106,954,678"
Tropa de Elite,2007,115 min,"Action, Crime, Drama",8,33,98097,"8,060"
The Avengers,2012,143 min,"Action, Adventure, Sci-Fi",8,69,1260806,"623,279,547"
Persepolis,2007,96 min,"Animation, Biography, Drama",8,90,88656,"4,445,756"
Dallas Buyers Club,2013,117 min,"Biography, Drama",8,80,441614,"27,298,285"
The Pursuit of Happyness,2006,117 min,"Biography, Drama",8,64,448930,"163,566,459"
Blood Diamond,2006,143 min,"Adventure, Drama, Thriller",8,64,499439,"57,366,262"
The Bourne Ultimatum,2007,115 min,"Action, Mystery, Thriller",8,85,604694,"227,471,070"
Bin-jip,2004,88 min,"Crime, Drama, Romance",8,72,50610,"238,507"
Sin City,2005,124 min,"Crime, Thriller",8,74,738512,"74,103,820"
Le scaphandre et le papillon,2007,112 min,"Biography, Drama",8,92,103284,"5,990,075"
G.O.R.A.,2004,127 min,"Adventure, Comedy, Sci-Fi",8,,56960,
Ratatouille,2007,111 min,"Animation, Adventure, Comedy",8,96,641645,"206,445,654"
Casino Royale,2006,144 min,"Action, Adventure, Thriller",8,80,582239,"167,445,960"
Kill Bill: Vol. 2,2004,137 min,"Action, Crime, Thriller",8,83,683900,"66,208,183"
Vozvrashchenie,2003,110 min,Drama,8,82,42399,"502,028"
Bom Yeoareum Gaeul Gyeoul Geurigo Bom,2003,103 min,"Drama, Romance",8,85,77520,"2,380,788"
Mar adentro,2014,126 min,"Biography, Drama",8,74,77554,"2,086,345"
Cinderella Man,2005,144 min,"Biography, Drama, History",8,69,176151,"61,649,911"
Kal Ho Naa Ho,2003,186 min,"Comedy, Drama, Musical",8,54,63460,"1,787,378"
Mou gaan dou,2002,101 min,"Action, Crime, Drama",8,75,117857,"169,659"
Pirates of the Caribbean: The Curse of the Black Pearl,2003,143 min,"Action, Adventure, Fantasy",8,63,1015122,"305,413,918"
Big Fish,2003,125 min,"Adventure, Drama, Fantasy",8,58,415218,"66,257,002"
The Incredibles,2004,115 min,"Animation, Action, Adventure",8,90,657047,"261,441,092"
Yeopgijeogin geunyeo,2001,137 min,"Comedy, Drama, Romance",8,,45403,
Dogville,2003,178 min,"Crime, Drama",8,60,137963,"1,530,386"
Vizontele,2001,110 min,"Comedy, Drama",8,,33592,
Donnie Darko,2001,113 min,"Drama, Mystery, Sci-Fi",8,88,740086,"1,480,006"
Magnolia,1999,188 min,Drama,8,77,289742,"22,455,976"
Dancer in the Dark,2000,140 min,"Crime, Drama, Musical",8,61,102285,"4,184,036"
The Straight Story,1999,112 min,"Biography, Drama",8,86,82002,"6,203,044"
Pâfekuto burû,1997,81 min,"Animation, Crime, Mystery",8,,58192,"776,665"
Festen,1998,105 min,Drama,8,82,78341,"1,647,780"
Central do Brasil,1998,110 min,Drama,8,80,36419,"5,595,428"
The Iron Giant,1999,86 min,"Animation, Action, Adventure",8,85,172083,"23,159,305"
Knockin' on Heaven's Door,1997,87 min,"Action, Crime, Comedy",8,,27721,"3,296"
Sling Blade,1996,135 min,Drama,8,84,86838,"24,475,416"
Secrets & Lies,1996,136 min,"Comedy, Drama",8,91,37564,"13,417,292"
Twelve Monkeys,1995,129 min,"Mystery, Sci-Fi, Thriller",8,74,578443,"57,141,459"
Kôkaku Kidôtai,1995,83 min,"Animation, Action, Crime",8,76,129231,"515,905"
The Nightmare Before Christmas,1993,76 min,"Animation, Family, Fantasy",8,82,300208,"75,082,668"
Groundhog Day,1993,101 min,"Comedy, Fantasy, Romance",8,72,577991,"70,906,973"
Bound by Honor,1993,180 min,"Crime, Drama",8,47,28825,"4,496,583"
Scent of a Woman,1992,156 min,Drama,8,59,263918,"63,895,607"
Aladdin,1992,90 min,"Animation, Adventure, Comedy",8,86,373845,"217,350,219"
JFK,1991,189 min,"Drama, History, Thriller",8,72,142110,"70,405,498"
Beauty and the Beast,1991,84 min,"Animation, Family, Fantasy",8,95,417178,"218,967,620"
Dances with Wolves,1990,181 min,"Adventure, Drama, Western",8,72,240266,"184,208,848"
Do the Right Thing,1989,120 min,"Comedy, Drama",8,93,89429,"27,545,445"
Rain Man,1988,133 min,Drama,8,65,473064,"178,800,000"
Akira,1988,124 min,"Animation, Action, Sci-Fi",8,,164918,"553,171"
The Princess Bride,1987,98 min,"Adventure, Family, Fantasy",8,77,393899,"30,857,814"
Der Himmel über Berlin,1987,128 min,"Drama, Fantasy, Romance",8,79,64722,"3,333,969"
Au revoir les enfants,1987,104 min,"Drama, War",8,88,31163,"4,542,825"
Tenkû no shiro Rapyuta,1986,125 min,"Animation, Adventure, Drama",8,78,150140,
The Terminator,1984,107 min,"Action, Sci-Fi",8,84,799795,"38,400,000"
Gandhi,1982,191 min,"Biography, Drama, History",8,79,217664,"52,767,889"
Kagemusha,1980,180 min,"Drama, History, War",8,84,32195,
Being There,1979,130 min,"Comedy, Drama",8,83,65625,"30,177,511"
Annie Hall,1977,93 min,"Comedy, Romance",8,92,251823,"39,200,000"
Jaws,1975,124 min,"Adventure, Thriller",8,87,543388,"260,000,000"
Dog Day Afternoon,1975,125 min,"Biography, Crime, Drama",8,86,235652,"50,000,000"
Young Frankenstein,1974,106 min,Comedy,8,80,143359,"86,300,000"
Papillon,1973,151 min,"Biography, Crime, Drama",8,58,121627,"53,267,000"
The Exorcist,1973,122 min,Horror,8,81,362393,"232,906,145"
Sleuth,1972,138 min,"Mystery, Thriller",8,,44748,"4,081,254"
The Last Picture Show,1971,118 min,"Drama, Romance",8,93,42456,"29,133,000"
Fiddler on the Roof,1971,181 min,"Drama, Family, Musical",8,67,39491,"80,500,000"
Il conformista,1970,113 min,Drama,8,100,27067,"541,940"
Butch Cassidy and the Sundance Kid,1969,110 min,"Biography, Crime, Drama",8,66,201888,"102,308,889"
Rosemary's Baby,1968,137 min,"Drama, Horror",8,96,193674,
Planet of the Apes,1968,112 min,"Adventure, Sci-Fi",8,79,165167,"33,395,426"
The Graduate,1967,106 min,"Comedy, Drama, Romance",8,83,253676,"104,945,305"
Who's Afraid of Virginia Woolf?,1966,131 min,Drama,8,75,68926,
The Sound of Music,1965,172 min,"Biography, Drama, Family",8,63,205425,"163,214,286"
Doctor Zhivago,1965,197 min,"Drama, Romance, War",8,69,69903,"111,722,000"
Per un pugno di dollari,1964,99 min,"Action, Drama, Western",8,65,198219,"14,500,000"
8½,1963,138 min,Drama,8,91,108844,"50,690"
Vivre sa vie: Film en douze tableaux,1962,80 min,Drama,8,,28057,
The Hustler,1961,134 min,"Drama, Sport",8,90,75067,"8,284,000"
La dolce vita,1960,174 min,"Comedy, Drama",8,95,66621,"19,516,000"
Rio Bravo,1959,141 min,"Action, Drama, Western",8,93,56305,"12,535,000"
Anatomy of a Murder,1959,161 min,"Crime, Drama, Mystery",8,95,59847,"11,900,000"
Touch of Evil,1958,95 min,"Crime, Drama, Film-Noir",8,99,98431,"2,237,659"
Cat on a Hot Tin Roof,1958,108 min,Drama,8,84,45062,"17,570,324"
Sweet Smell of Success,1957,96 min,"Drama, Film-Noir",8,100,28137,
The Killing,1956,84 min,"Crime, Drama, Film-Noir",8,91,81702,
The Night of the Hunter,1955,92 min,"Crime, Drama, Film-Noir",8,99,81980,"654,000"
La Strada,1954,108 min,Drama,8,,58314,
Les diaboliques,1955,117 min,"Crime, Drama, Horror",8,,61503,
Stalag 17,1953,120 min,"Comedy, Drama, War",8,84,51046,
Roman Holiday,1953,118 min,"Comedy, Romance",8,78,127256,
A Streetcar Named Desire,1951,122 min,Drama,8,97,99182,"8,000,000"
In a Lonely Place,1950,94 min,"Drama, Film-Noir, Mystery",8,,26784,
Kind Hearts and Coronets,1949,106 min,"Comedy, Crime",8,,34485,
Rope,1948,80 min,"Crime, Drama, Mystery",8,73,129783,
Out of the Past,1947,97 min,"Crime, Drama, Film-Noir",8,,32784,
Brief Encounter,1945,86 min,"Drama, Romance",8,92,35601,
Laura,1944,88 min,"Drama, Film-Noir, Mystery",8,,42725,"4,360,000"
The Best Years of Our Lives,1946,170 min,"Drama, Romance, War",8,93,57259,"23,650,000"
Arsenic and Old Lace,1942,118 min,"Comedy, Crime, Thriller",8,,65101,
The Maltese Falcon,1941,100 min,"Film-Noir, Mystery",8,96,148928,"2,108,060"
The Grapes of Wrath,1940,129 min,"Drama, History",8,96,85559,"55,000"
The Wizard of Oz,1939,102 min,"Adventure, Family, Fantasy",8,92,371379,"2,076,020"
La règle du jeu,1939,110 min,"Comedy, Drama",8,,26725,
The Thin Man,1934,91 min,"Comedy, Crime, Mystery",8,86,26642,
All Quiet on the Western Front,1930,152 min,"Drama, War",8,91,57318,"3,270,000"
Bronenosets Potemkin,1925,75 min,"Drama, History, Thriller",8,97,53054,"50,970"
Knives Out,2019,130 min,"Comedy, Crime, Drama",7.9,82,454203,"165,359,751"
Dil Bechara,2020,101 min,"Comedy, Drama, Romance",7.9,,111478,
Manbiki kazoku,2018,121 min,"Crime, Drama",7.9,93,62754,"3,313,513"
Marriage Story,2019,137 min,"Comedy, Drama, Romance",7.9,94,246644,"2,000,000"
Call Me by Your Name,2017,132 min,"Drama, Romance",7.9,93,212651,"18,095,701"
"I, Daniel Blake",2016,100 min,Drama,7.9,78,53818,"258,168"
Isle of Dogs,2018,101 min,"Animation, Adventure, Comedy",7.9,82,139114,"32,015,231"
Hunt for the Wilderpeople,2016,101 min,"Adventure, Comedy, Drama",7.9,81,111483,"5,202,582"
Captain Fantastic,2016,118 min,"Comedy, Drama",7.9,72,189400,"5,875,006"
Sing Street,2016,106 min,"Comedy, Drama, Music",7.9,79,85109,"3,237,118"
Thor: Ragnarok,2017,130 min,"Action, Adventure, Comedy",7.9,74,587775,"315,058,289"
Nightcrawler,2014,117 min,"Crime, Drama, Thriller",7.9,76,466134,"32,381,218"
Jojo Rabbit,2019,108 min,"Comedy, Drama, War",7.9,58,297918,"349,555"
Arrival,2016,116 min,"Drama, Sci-Fi",7.9,81,594181,"100,546,139"
Star Wars: Episode VII - The Force Awakens,2015,138 min,"Action, Adventure, Sci-Fi",7.9,80,860823,"936,662,225"
Before Midnight,2013,109 min,"Drama, Romance",7.9,94,141457,"8,114,627"
X-Men: Days of Future Past,2014,132 min,"Action, Adventure, Sci-Fi",7.9,75,659763,"233,921,534"
Bir Zamanlar Anadolu'da,2011,157 min,"Crime, Drama",7.9,82,41995,"138,730"
The Artist,2011,100 min,"Comedy, Drama, Romance",7.9,89,230624,"44,671,682"
Edge of Tomorrow,2014,113 min,"Action, Adventure, Sci-Fi",7.9,71,600004,"100,206,256"
Amour,2012,127 min,"Drama, Romance",7.9,94,93090,"6,739,492"
The Irishman,2019,209 min,"Biography, Crime, Drama",7.9,94,324720,"7,000,000"
Un prophète,2009,155 min,"Crime, Drama",7.9,90,93560,"2,084,637"
Moon,2009,97 min,"Drama, Mystery, Sci-Fi",7.9,67,335152,"5,009,677"
Låt den rätte komma in,2008,114 min,"Crime, Drama, Fantasy",7.9,82,205609,"2,122,065"
District 9,2009,112 min,"Action, Sci-Fi, Thriller",7.9,81,638202,"115,646,235"
The Wrestler,2008,109 min,"Drama, Sport",7.9,80,289415,"26,236,603"
Jab We Met,2007,138 min,"Comedy, Drama, Romance",7.9,,47720,"410,800"
Boyhood,2014,165 min,Drama,7.9,100,335533,"25,379,975"
"4 luni, 3 saptamâni si 2 zile",2007,113 min,Drama,7.9,97,56625,"1,185,783"
Star Trek,2009,127 min,"Action, Adventure, Sci-Fi",7.9,82,577336,"257,730,019"
In Bruges,2008,107 min,"Comedy, Crime, Drama",7.9,67,390334,"7,757,130"
The Man from Earth,2007,87 min,"Drama, Fantasy, Mystery",7.9,,174125,
Letters from Iwo Jima,2006,141 min,"Action, Adventure, Drama",7.9,89,154011,"13,756,082"
The Fall,2006,117 min,"Adventure, Drama, Fantasy",7.9,64,107290,"2,280,348"
Life of Pi,2012,127 min,"Adventure, Drama, Fantasy",7.9,79,580708,"124,987,023"
Fantastic Mr. Fox,2009,87 min,"Animation, Adventure, Comedy",7.9,83,199696,"21,002,919"
C.R.A.Z.Y.,2005,129 min,"Comedy, Drama",7.9,81,31476,
Les choristes,2004,97 min,"Drama, Music",7.9,56,57430,"3,635,164"
Iron Man,2008,126 min,"Action, Adventure, Sci-Fi",7.9,79,939644,"318,412,101"
Shaun of the Dead,2004,99 min,"Comedy, Horror",7.9,76,512249,"13,542,874"
Gegen die Wand,2004,121 min,"Drama, Romance",7.9,78,51325,
Mystic River,2003,138 min,"Crime, Drama, Mystery",7.9,84,419420,"90,135,191"
Harry Potter and the Prisoner of Azkaban,2004,142 min,"Adventure, Family, Fantasy",7.9,82,552493,"249,358,727"
Ying xiong,2002,120 min,"Action, Adventure, History",7.9,85,173999,"53,710,019"
Hable con ella,2002,112 min,"Drama, Mystery, Romance",7.9,86,104691,"9,284,265"
No Man's Land,2001,98 min,"Comedy, Drama, War",7.9,84,44618,"1,059,830"
Cowboy Bebop: Tengoku no tobira,2001,115 min,"Animation, Action, Crime",7.9,61,42897,"1,000,045"
The Bourne Identity,2002,119 min,"Action, Mystery, Thriller",7.9,68,508771,"121,661,683"
Nueve reinas,2000,114 min,"Crime, Drama, Thriller",7.9,80,49721,"1,221,261"
Children of Men,2006,109 min,"Adventure, Drama, Sci-Fi",7.9,84,465113,"35,552,383"
Almost Famous,2000,122 min,"Adventure, Comedy, Drama",7.9,90,252586,"32,534,850"
Mulholland Dr.,2001,147 min,"Drama, Mystery, Thriller",7.9,85,322031,"7,220,243"
Toy Story 2,1999,92 min,"Animation, Adventure, Comedy",7.9,88,527512,"245,852,179"
Boogie Nights,1997,155 min,Drama,7.9,85,239473,"26,400,640"
Mimi wo sumaseba,1995,111 min,"Animation, Drama, Family",7.9,75,51943,
Once Were Warriors,1994,102 min,"Crime, Drama",7.9,77,31590,"2,201,126"
True Romance,1993,119 min,"Crime, Drama, Romance",7.9,59,206918,"12,281,500"
Trois couleurs: Bleu,1993,94 min,"Drama, Music, Mystery",7.9,85,89836,"1,324,974"
Jûbê ninpûchô,1993,94 min,"Animation, Action, Adventure",7.9,,34529,
Carlito's Way,1993,144 min,"Crime, Drama, Thriller",7.9,65,201000,"36,948,322"
Edward Scissorhands,1990,105 min,"Drama, Fantasy, Romance",7.9,74,447368,"56,362,352"
My Left Foot: The Story of Christy Brown,1989,103 min,"Biography, Drama",7.9,97,68076,"14,743,391"
Crimes and Misdemeanors,1989,104 min,"Comedy, Drama",7.9,77,54670,"18,254,702"
The Untouchables,1987,119 min,"Crime, Drama, Thriller",7.9,79,281842,"76,270,454"
Hannah and Her Sisters,1986,107 min,"Comedy, Drama",7.9,90,67176,"40,084,041"
Brazil,1985,132 min,"Drama, Sci-Fi",7.9,84,187567,"9,929,135"
This Is Spinal Tap,1984,82 min,"Comedy, Music",7.9,92,128812,"188,751"
A Christmas Story,1983,93 min,"Comedy, Family",7.9,77,132947,"20,605,209"
The Blues Brothers,1980,133 min,"Action, Adventure, Comedy",7.9,60,183182,"57,229,890"
Manhattan,1979,96 min,"Comedy, Drama, Romance",7.9,83,131436,"45,700,000"
All That Jazz,1979,123 min,"Drama, Music, Musical",7.9,72,28223,"37,823,676"
Dawn of the Dead,1978,127 min,"Action, Adventure, Horror",7.9,71,111512,"5,100,000"
All the President's Men,1976,138 min,"Biography, Drama, History",7.9,84,103031,"70,600,000"
La montaña sagrada,1973,114 min,"Adventure, Drama, Fantasy",7.9,76,37183,"61,001"
Amarcord,1973,123 min,"Comedy, Drama, Family",7.9,,39897,
Le charme discret de la bourgeoisie,1972,102 min,Comedy,7.9,93,38737,"198,809"
"Aguirre, der Zorn Gottes",1972,95 min,"Action, Adventure, Biography",7.9,,52397,
Harold and Maude,1971,91 min,"Comedy, Drama, Romance",7.9,62,70826,
Patton,1970,172 min,"Biography, Drama, War",7.9,91,93741,"61,700,000"
The Wild Bunch,1969,145 min,"Action, Adventure, Western",7.9,97,77401,"12,064,472"
Night of the Living Dead,1968,96 min,"Horror, Thriller",7.9,89,116557,"89,029"
The Lion in Winter,1968,134 min,"Biography, Drama, History",7.9,,29003,"22,276,975"
In the Heat of the Night,1967,110 min,"Crime, Drama, Mystery",7.9,75,67804,"24,379,978"
Charade,1963,113 min,"Comedy, Mystery, Romance",7.9,83,68689,"13,474,588"
The Manchurian Candidate,1962,126 min,"Drama, Thriller",7.9,94,71122,
Spartacus,1960,197 min,"Adventure, Biography, Drama",7.9,87,124339,"30,000,000"
L'avventura,1960,144 min,"Drama, Mystery",7.9,,26542,
Hiroshima mon amour,1959,90 min,"Drama, Romance",7.9,,28421,"88,300"
The Ten Commandments,1956,220 min,"Adventure, Drama",7.9,,63560,"93,740,000"
The Searchers,1956,119 min,"Adventure, Drama, Western",7.9,94,80316,
East of Eden,1955,118 min,Drama,7.9,72,40313,
High Noon,1952,85 min,"Drama, Thriller, Western",7.9,89,97222,"9,450,000"
Strangers on a Train,1951,101 min,"Crime, Film-Noir, Thriller",7.9,88,123341,"7,630,000"
Harvey,1950,104 min,"Comedy, Drama, Fantasy",7.9,,52573,
Miracle on 34th Street,1947,96 min,"Comedy, Drama, Family",7.9,88,41625,"2,650,000"
Notorious,1946,102 min,"Drama, Film-Noir, Romance",7.9,100,92306,"10,464,000"
The Big Sleep,1946,114 min,"Crime, Film-Noir, Mystery",7.9,,78796,"6,540,000"
The Lost Weekend,1945,101 min,"Drama, Film-Noir",7.9,,33549,"9,460,000"
The Philadelphia Story,1940,112 min,"Comedy, Romance",7.9,96,63550,
His Girl Friday,1940,92 min,"Comedy, Drama, Romance",7.9,,53667,"296,000"
The Adventures of Robin Hood,1938,102 min,"Action, Adventure, Romance",7.9,97,47175,"3,981,000"
A Night at the Opera,1935,96 min,"Comedy, Music, Musical",7.9,,30580,"2,537,520"
King Kong,1933,100 min,"Adventure, Horror, Sci-Fi",7.9,90,78991,"10,000,000"
Freaks,1932,64 min,"Drama, Horror",7.9,80,42117,
Nosferatu,1922,94 min,"Fantasy, Horror",7.9,,88794,
The Gentlemen,2019,113 min,"Action, Comedy, Crime",7.8,51,237392,
Raazi,2018,138 min,"Action, Drama, Thriller",7.8,,25344,
Sound of Metal,2019,120 min,"Drama, Music",7.8,81,27187,
Forushande,2016,124 min,Drama,7.8,85,51240,"2,402,067"
Dunkirk,2017,106 min,"Action, Drama, History",7.8,94,555092,"188,373,161"
Perfetti sconosciuti,2016,96 min,"Comedy, Drama",7.8,,57168,
Hidden Figures,2016,127 min,"Biography, Drama, History",7.8,74,200876,"169,607,287"
Paddington 2,2017,103 min,"Adventure, Comedy, Family",7.8,88,61594,"40,442,052"
Udta Punjab,2016,148 min,"Action, Crime, Drama",7.8,,27175,
Kubo and the Two Strings,2016,101 min,"Animation, Action, Adventure",7.8,84,118035,"48,023,088"
M.S. Dhoni: The Untold Story,2016,184 min,"Biography, Drama, Sport",7.8,,40416,"1,782,795"
Manchester by the Sea,2016,137 min,Drama,7.8,96,246963,"47,695,120"
Under sandet,2015,100 min,"Drama, History, War",7.8,75,35539,"435,266"
Rogue One,2016,133 min,"Action, Adventure, Sci-Fi",7.8,65,556608,"532,177,324"
Captain America: Civil War,2016,147 min,"Action, Adventure, Sci-Fi",7.8,75,663649,"408,084,349"
The Hateful Eight,2015,168 min,"Crime, Drama, Mystery",7.8,68,517059,"54,117,416"
Little Women,2019,135 min,"Drama, Romance",7.8,91,143250,"108,101,214"
Loving Vincent,2017,94 min,"Animation, Biography, Crime",7.8,62,50778,"6,735,118"
Pride,2014,119 min,"Biography, Comedy, Drama",7.8,79,51841,
Le passé,2013,130 min,"Drama, Mystery",7.8,85,45002,"1,330,596"
La grande bellezza,2013,141 min,Drama,7.8,86,81125,"2,852,400"
The Lunchbox,2013,104 min,"Drama, Romance",7.8,76,50523,"4,231,500"
Vicky Donor,2012,126 min,"Comedy, Romance",7.8,,39710,"169,209"
Big Hero 6,2014,102 min,"Animation, Action, Adventure",7.8,74,410983,"222,527,828"
About Time,2013,123 min,"Comedy, Drama, Fantasy",7.8,55,303032,"15,322,921"
English Vinglish,2012,134 min,"Comedy, Drama, Family",7.8,,33618,"1,670,773"
Kaze tachinu,2013,126 min,"Animation, Biography, Drama",7.8,83,73690,"5,209,580"
Toy Story 4,2019,100 min,"Animation, Adventure, Comedy",7.8,84,203177,"434,038,008"
La migliore offerta,2013,131 min,"Crime, Drama, Mystery",7.8,49,108399,"85,433"
Moonrise Kingdom,2012,94 min,"Comedy, Drama, Romance",7.8,84,318789,"45,512,466"
How to Train Your Dragon 2,2014,102 min,"Animation, Action, Adventure",7.8,76,305611,"177,002,924"
The Big Short,2015,130 min,"Biography, Comedy, Drama",7.8,81,362942,"70,259,870"
Kokuhaku,2010,106 min,"Drama, Thriller",7.8,,35713,
Ang-ma-reul bo-at-da,2010,144 min,"Action, Crime, Drama",7.8,67,111252,"128,392"
The Girl with the Dragon Tattoo,2011,158 min,"Crime, Drama, Mystery",7.8,71,423010,"102,515,793"
Captain Phillips,2013,134 min,"Adventure, Biography, Crime",7.8,82,421244,"107,100,855"
Ajeossi,2010,119 min,"Action, Crime, Drama",7.8,,62848,"6,460"
Straight Outta Compton,2015,147 min,"Biography, Drama, History",7.8,72,179264,"161,197,785"
Madeo,2009,129 min,"Crime, Drama, Mystery",7.8,79,52758,"547,292"
Chugyeokja,2008,125 min,"Action, Crime, Thriller",7.8,64,58468,
The Hobbit: The Desolation of Smaug,2013,161 min,"Adventure, Fantasy",7.8,66,601408,"258,366,855"
Das weiße Band - Eine deutsche Kindergeschichte,2009,144 min,"Drama, History, Mystery",7.8,82,68715,"2,222,647"
Män som hatar kvinnor,2009,152 min,"Crime, Drama, Mystery",7.8,76,208994,"10,095,170"
The Trial of the Chicago 7,2020,129 min,"Drama, History, Thriller",7.8,77,89896,
Druk,2020,117 min,"Comedy, Drama",7.8,81,33931,
The Fighter,2010,116 min,"Biography, Drama, Sport",7.8,79,340584,"93,617,009"
Taken,2008,90 min,"Action, Thriller",7.8,51,564791,"145,000,989"
The Boy in the Striped Pyjamas,2008,94 min,"Drama, History, War",7.8,55,190748,"9,030,581"
Once,2007,86 min,"Drama, Music, Romance",7.8,88,110656,"9,439,923"
The Hobbit: An Unexpected Journey,2012,169 min,"Adventure, Fantasy",7.8,58,757377,"303,003,568"
Auf der anderen Seite,2007,122 min,Drama,7.8,85,30827,"741,283"
Atonement,2007,123 min,"Drama, Mystery, Romance",7.8,85,251370,"50,927,067"
Drive,2011,100 min,"Crime, Drama",7.8,78,571571,"35,061,555"
American Gangster,2007,157 min,"Biography, Crime, Drama",7.8,76,392449,"130,164,645"
Avatar,2009,162 min,"Action, Adventure, Fantasy",7.8,83,1118998,"760,507,625"
Mr. Nobody,2009,141 min,"Drama, Fantasy, Romance",7.8,63,216421,"3,600"
Apocalypto,2006,139 min,"Action, Adventure, Drama",7.8,68,291018,"50,866,635"
Little Miss Sunshine,2006,101 min,"Comedy, Drama",7.8,80,439856,"59,891,098"
Hot Fuzz,2007,121 min,"Action, Comedy, Mystery",7.8,81,463466,"23,637,265"
The Curious Case of Benjamin Button,2008,166 min,"Drama, Fantasy, Romance",7.8,70,589160,"127,509,326"
Veer-Zaara,2004,192 min,"Drama, Family, Musical",7.8,67,49050,"2,921,738"
Adams æbler,2005,94 min,"Comedy, Crime, Drama",7.8,51,45717,"1,305"
Pride & Prejudice,2005,129 min,"Drama, Romance",7.8,82,258924,"38,405,088"
The World's Fastest Indian,2005,127 min,"Biography, Drama, Sport",7.8,68,51980,"5,128,124"
Tôkyô goddofâzâzu,2003,90 min,"Animation, Adventure, Comedy",7.8,73,31658,"128,985"
Serenity,2005,119 min,"Action, Adventure, Sci-Fi",7.8,74,283310,"25,514,517"
Walk the Line,2005,136 min,"Biography, Drama, Music",7.8,72,234207,"119,519,402"
Ondskan,2003,113 min,Drama,7.8,61,35682,"15,280"
The Notebook,2004,123 min,"Drama, Romance",7.8,53,520284,"81,001,787"
Diarios de motocicleta,2004,126 min,"Adventure, Biography, Drama",7.8,75,96703,"16,756,372"
Lilja 4-ever,2002,109 min,"Crime, Drama",7.8,82,42673,"181,655"
Les triplettes de Belleville,2003,80 min,"Animation, Comedy, Drama",7.8,91,50622,"7,002,255"
Gongdong gyeongbi guyeok JSA,2000,110 min,"Action, Drama, Thriller",7.8,58,26518,
The Count of Monte Cristo,2002,131 min,"Action, Adventure, Drama",7.8,61,129022,"54,234,062"
Waking Life,2001,99 min,"Animation, Drama, Fantasy",7.8,83,60684,"2,892,011"
Remember the Titans,2000,113 min,"Biography, Drama, Sport",7.8,48,198089,"115,654,751"
Wo hu cang long,2000,120 min,"Action, Adventure, Fantasy",7.8,94,253228,"128,078,872"
Todo sobre mi madre,1999,101 min,Drama,7.8,87,89058,"8,264,530"
Cast Away,2000,143 min,"Adventure, Drama, Romance",7.8,73,524235,"233,632,142"
The Boondock Saints,1999,108 min,"Action, Crime, Thriller",7.8,44,227143,"25,812"
The Insider,1999,157 min,"Biography, Drama, Thriller",7.8,84,159886,"28,965,197"
